"fid","name","gender","lifespan","age_at_death","birth","place_birth_lat","place_birth_lon","place_birth","death","place_death_lat","place_death_lon","place_death","count_memories","count_stories","count_photos","count_sources","count_parents","count_siblings","count_spouses","count_children"
"LCRH-GYP","Robert Salemon of Withington","Male","1210–1252",42,"+1210","53.23333","-2.3","Withington, Cheshire, England","+1252","53.18268","-2.53046","Cheshire, England",0,0,0,12,2,0,1,1
"G2M1-NFY","Beatrix de Hulme","Female","1205–about 1228",23,"+1205","53.19333","-2.68167","Willington,Cheshire,England.","+1228","52.4379","-1.6496",",England.",0,0,0,4,0,0,1,1
"LJLZ-5MT","Roger de Macclesfield","Male","1209–1246",37,"+1209","53.25","-2.11667","Macclesfield, Cheshire, England","+1246","53.25","-2.11667","Macclesfield, Cheshire, England",1,0,1,1,2,0,1,3
"KHR8-PT3","Isabel de Orreby","Female","1216–about 1295",79,"+1216","53.21667","-2.16667","Gawsworth, Cheshire, England","+1295","53.25","-2.11667","Macclesfield, Cheshire, England",2,0,2,0,2,5,1,3
"L13Z-FVM","Sir Gerard Hanmer Of Macclesfield","Male","about 1215–about 1300",85,"+1215","53.25","-2.11667","Macclesfield, Cheshire, England","+1300","53.25","-2.11667","Macclesfield, Cheshire, England",1,0,1,0,0,0,1,1
"LB5R-TM9","Countess Jean Hanmer","Female","about 1205–",NA,"+1205","53.18268","-2.53046","Cheshire, England",NA,"53.25","-2.11667","Macclesfield, Cheshire, England",0,0,0,0,0,0,1,1
"GGFG-P4C","Leycester","Male","1230–",NA,"+1230","52.4379","-1.6496","England, United Kingdom",NA,NA,NA,NA,0,0,0,0,0,0,1,1
"GGFG-RBL","Leycester","Female","1230–",NA,"+1230","52.4379","-1.6496","England, United Kingdom",NA,NA,NA,NA,0,0,0,0,0,0,1,1
"GHND-3J4","Sir Geoffrey de Dutton IV","Male","–1276",NA,NA,"53.4","-2.45","Warburton, Cheshire, England","+1276","53.2952","-2.5027","Great Budworth, Cheshire, England",1,0,1,13,2,5,2,15
"LVCN-2S8","Alice Idonea De Lacy","Female","1226–1271",45,"+1226",NA,NA,"Pedham Castle, Lancashire, England","+1271","53.4","-2.45","Warburton, Cheshire, England",0,0,0,6,2,2,2,13
"GW51-KPY","Henry de Clifford","Male","1190–1284",94,"+1190","51.72352","-2.11558","Frampton, Gloucestershire, , England","+1284","51.7729","-2.3602","Frampton On Severn, Gloucestershire, England",0,0,0,2,2,2,1,1
"GKBH-5R2","Maud","Female","Abt 1194–Abt 1284",90,"+1194","51.7729","-2.3602","Frampton on Severn, Gloucestershire, England, United Kingdom","+1284",NA,NA,NA,0,0,0,0,0,0,1,1
"GZBX-4JB","Sir John Seymour","Male","about 1214–",NA,"+1214","52.4379","-1.6496","England",NA,NA,NA,NA,0,0,0,0,0,0,1,1
"L9G2-Q51","Seymour?","Female","about 1215–",NA,"+1215","52.4379","-1.6496","England",NA,NA,NA,NA,0,0,0,1,0,0,1,1
"L5Y8-VPL","Adam de Bolteby","Male","about 1226–1291",65,"+1226","54.28333","-1.25","Boltby, Yorkshire, England","+1291",NA,NA,NA,0,0,0,2,2,0,1,1
"L1BP-5DM","Mrs. Anore Bolteby","Female","1239–",NA,"+1239",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1
"GKK9-86N","Ralph Huse","Male","1235–1284",49,"+1235","50.73646","-3.71887","Charlecombe, Devon, England","+1284","50.73646","-3.71887","Charlecombe, Devon, England",1,0,1,0,2,0,1,1
"GKVM-WG6","Lady Evelyn Warwick","Female","1239–1287",48,"+1239","52.33781","-1.56089","Warwickshire, England","+1287","50.73646","-3.71887","Charlecombe, Devon, England",1,0,1,0,0,0,1,1
"GWKL-BTR","Eleanor Fenes","Female","about 1250–after 1292",43,"+1250","53.18268","-2.53046","Shipbroke, Cheshire. England","+1292","51.8765","-0.8758","Pitchcott, Buckinghamshire, England",1,0,1,2,2,0,1,1
"9WTY-WXP","Roger Le Waleys","Male","abt 1280–1311",31,"+1280","52.6918","-1.1136","of Wanlip, Lcstrs. Eng.","+1311",NA,NA,NA,0,0,0,0,2,3,1,1
"MS2B-QF4","Mrs Amice Le Waleys","Female","–",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1
