"fid","name","gender","lifespan","age_at_death","birth","place_birth_lat","place_birth_lon","place_birth","death","place_death_lat","place_death_lon","place_death","count_memories","count_stories","count_photos","count_sources","count_parents","count_siblings","count_spouses","count_children"
"GV5W-LTL","Sir Willam Hay Knight of Locherworth","Male","about 1328–29 August 1392",64,"+1328","55.83","-3.083","Locherworth Castle Midlothian Scotland","+1392-08-29","55.83","-3.083","Locherwart Castle, Gorbridge, Midlothian, Scotland",6,0,6,0,2,1,1,2
"GGJT-CPZ","Lady Jane Douglas, Countess of Lochor","Female","1317–November 1357",40,"+1317","55.86667","-3.06667","Dalkeith, Midlothian, Scotland","+1357-11","55.9535","-3.1892","Edinburgh, Midlothian, Scotland",1,0,1,0,2,5,1,2
"GK2B-HY4","John Graham of Dundaff, 9th Earl of Menteith","Male","1300–28 FEB 1347",47,"+1300","55.669","-3.7837","Strathblane, Lanarkshire, Scotland","+1347-02-28","51.5557","-0.2321","Hanged, Drawn & Quartered in London, Middlesex, England",3,0,3,1,2,1,2,7
"GNKB-XBV","Mary II, Countess of Menteith","Female","Abt 1295–29 April 1360",65,"+1295","56.5","-4","Menteith, Perth, Scotland","+1360-04-29","56.5","-4","Menteith, Perth, Scotland",7,0,7,3,2,5,2,7
"GZND-Z96","Walter of Faslane Earl of Lennox","Male","1320–19 August 1388",68,"+1320","56.81674","-4.18396","Scotland","+1388-08-19","56.81674","-4.18396","Scotland",4,2,2,8,2,0,1,3
"GHS2-JK5","Margaret MacArkill","Female","about 1320–about 19 August 1388",68,"+1320","56.01667","-4.58333","Balloch Castle, Loch Lomond, Dunbartonshire, Scotland","+1388-08-19","56.01667","-4.58333","Balloch Castle, Loch Lomond, Dunbartonshire, Scotland",5,2,3,2,2,0,1,3
"LY3P-P2L","Sir Archibald Mor Campbell 12th. Laird of Lochow","Male","1310–1372",62,"+1310","54.83333","-4.73333","Gillespie, Wigtownshire, Scotland","+1372","54.83333","-4.73333","Gillespie, Wigtownshire, Scotland",19,5,16,7,2,5,1,8
"LB15-BCC","Mary Isabella Lamont","Female","1318–1364",46,"+1318","55.86666","-5.23333","Lamont, Lochow, Argyllshire, Scotland","+1364","56.25","-5.25","Lochow, Argyll, Scotland",8,3,6,6,2,4,1,8
"GG6S-9K9","Robert Erskine","Male","1 April 1310–1385",75,"+1310-04-01","55.9094","-4.4629","Erskine, Renfrewshire, Scotland",NA,NA,NA,NA,0,0,0,0,2,2,2,9
"L8T4-8RW","Edward de Keith Marischal of Scotland","Male","about 1280–about 17 October 1346",66,"+1280","56.95","-2.23333","Dunottar, Kincardineshire, Scotland","+1346-10-17","54.78333","-1.56666","Neville's Cross, Durham, England",20,3,19,12,2,5,2,9
"G4RL-VZV","Christian Menteith","Female","Abt 1321–1387",66,"+1321","57.1483","-2.0937","Mar, Aberdeen, Scotland","+1387","55.48333","-2.83333","Synton, Selkirkshire, Scotland",5,1,7,1,2,1,2,2
