"fid","name","gender","lifespan","age_at_death","birth","place_birth_lat","place_birth_lon","place_birth","death","place_death_lat","place_death_lon","place_death","count_memories","count_stories","count_photos","count_sources","count_parents","count_siblings","count_spouses","count_children"
"LF7J-9W5","Elizabeth Berger","Female","1474–1574",100,"+1474",NA,NA,NA,"+1574",NA,NA,NA,0,0,0,2,0,0,1,3
"GNW2-5V5","Sir Newell Edgar Pope","Male","1504–1588",84,"+1504","51.9824","-1.3234","Deddington, Oxfordshire, England","+1588","51.9824","-1.3234","Deddington, Oxfordshire, England",1,0,1,0,2,4,1,3
"LRPS-PWX","Sharley Kinkey","Female","1504–1577",73,"+1504","51.79073","-0.29247","Sandridge, Hertfordshire, England","+1577","51.9824","-1.3233","Deddington, Oxfordshire, England",1,0,1,1,2,0,1,3
"GVSR-97W","Nicholas Blake","Male","Abt 1498–June 1547",49,"+1498","51.2122","-1.4909","Andover, Hampshire, England","+1547-06","51.2122","-1.4909","Andover, Hampshire, England",0,0,0,0,2,10,1,7
"GZ2B-6B5","Margaret Mondy","Female","1510–1609",99,"+1510","51.20796","-1.58048","Andover, Hampshire, England","+1609","51.20796","-1.58048","Andover, Hampshire, England",0,0,0,0,2,1,1,7
"GDL2-L57","Agnes Holsnoth","Female","1517–24 June 1569",52,"+1517","51.85229","0.61466","Essex, England","+1569-06-24","51.85229","0.61466","Essex, England",0,0,0,0,1,0,2,2
"GGSK-NVX","Thomas Halsnoth Harsnett","Male","Abt. 1515–Bef. 1600",84,"+1515","51.88893","0.90236","Colchester, Essex, England",NA,"51.88893","0.90236","Colchester, Essex, England",0,0,0,0,0,0,1,1
"GGSK-PPT","William James Marcy","Male","1505–1560",55,"+1505","51.85229","0.61466","Essex, England","+1560","52.4379","-1.6496","England",0,0,0,0,0,0,1,1
"GS51-SSR","Margaret Wodkers","Female","1500–aft 1560",61,"+1500","52.4379","-1.6496","England","+1560","52.4379","-1.6496","england",0,0,0,1,1,0,2,2
"GGS2-3JY","William Thomas Wayer II","Male","1500–1587",87,"+1500","51.72009","-1.98873","Cirencester, Gloucestershire, England","+1587","51.25","0.46666","Ewell, Kent, England",0,0,0,0,0,0,1,1
"LKCW-WQM","William Blake","Male","1465–10 March 1547",82,"+1465","51.4394","-2.005","Calne, Wiltshire, England","+1547-03-10","51.20796","-1.58048","Andover, Hampshire, England",3,0,3,5,2,2,1,11
"LKCW-WNY","Mary Coles","Female","1469–1560",91,"+1469","51.4394","-2.005","Calne, Wiltshire, England","+1560","51.20796","-1.58048","Andover, Hampshire, England",3,0,3,4,2,2,1,11
"G4YS-Y58","Thomas Clapp","Male","1460–before 1538",77,"+1460","50.71667","-3.2","Sidbury, Devon, England, United Kingdom",NA,"50.7281","-3.2174","Sidbury, Devon, England",2,0,0,0,0,0,1,1
"GFZB-L18","Mrs. Thomas Clapp","Female","about 1462–",NA,"+1462","50.73646","-3.71887","Devon, England",NA,NA,NA,NA,0,0,0,0,0,0,1,1
"GGMB-LYP","Cuthbert(son) Augustus Hunter (3)","Male","11 Feb 1479–",NA,"+1479-02-11","51.82354","-2.62908","Monmouth, England",NA,"55.2377","-1.7041","Earsdon, Northumberland, England",0,0,0,0,0,0,1,1
"G6TJ-BZ6","Loretta Jane Hunter","Female","1480–1540",60,"+1480","50.73646","-3.71887","Devon, England","+1540","55.0453","-1.4954","Earsdon, Northumberland, England",0,0,0,0,0,0,2,2
"G85N-55Y","William Webbe","Male","1499–February 1554",55,"+1499","51.39235","-2.04346","Stewkley Grange,Wiltshire,England","+1554-02","51.0687","-1.794","Salisbury, Wiltshire, England",0,0,0,0,0,0,1,1
"GZR4-DP8","Henry Ragsdale I","Male","Circa 1440–",NA,"+1440","52.4379","-1.6496","England",NA,NA,NA,NA,0,0,0,0,2,0,2,2
"GLRH-LPL","Ann Kirk","Female","Abt 1445–Abt 1495",50,"+1445","53.11546","-1.02722","East Bridgeford, Nottinghamshire, England","+1495","53.11546","-1.02722","East Bridgeford, Nottinghamshire, England",0,0,0,0,0,0,1,1
"G22G-5NS","William Hayward","Male","1405–1450",45,"+1405","51.73333","-2.36667","Cambridge, Gloucestershire, England","+1450","52.63333","-3","Brockton, Shropshire, England",0,0,0,0,2,0,2,5
"GJR5-JFD","Lucia De Cam Harding","Female","1400–1450",50,"+1400","51.73333","-2.36667","Cambridge, Gloucestershire, England","+1450","51.73333","-2.36667","Cambridge, Gloucestershire, England",0,0,0,2,2,4,2,2
"GNHS-FHY","Thomas Heathcote","Male","1440–1492",52,"+1440","52.9235","-1.477","Derby, Derbyshire, England","+1492","52.9235","-1.477","Derby, Derbyshire, England",1,0,1,0,2,1,1,3
"9C6G-TV3","Mrs. Rose Heathcote","Female","about 1445–",NA,"+1445","53.11051","-1.62048","Derbyshire, England",NA,NA,NA,NA,1,0,1,0,0,0,1,3
"9C6G-GQW","John Thompson","Male","1430–",NA,"+1430","52.4379","-1.6496","England",NA,NA,NA,NA,0,0,0,0,0,0,1,3
"9C6G-YFB","Mrs Elyn Thompson","Female","1430–",NA,"+1430","53.2352","-1.4244","Chesterfield, Derbyshire, England",NA,NA,NA,NA,1,0,1,0,0,0,2,4
"G3X5-9LQ","Thomas de Eley Smythe","Male","1460–April 1543",83,"+1460","53.07388","-0.55508","Welbourn, Lincolnshire, England","+1543-04","52.77951","-1.91711","Staffordshire, England",2,1,1,3,2,11,2,9
"GWS1-JBP","Lady Anne le Strange","Female","1462–16 April 1546",84,"+1462","52.79646","-2.99541","Knockin in Oswestry, Shropshire, England","+1546-04-16","53.42545","-0.026","Utterby, Lincolnshire, England",2,0,2,3,2,3,2,11
"G633-LHG","Sir Richard Clark","Male","1474–17 June 1576",102,"+1474","53.07388","-0.55508","Welbourn, Lincolnshire, England","+1576-06-17","53.07388","-0.55508","Welbourn, Lincolnshire, England",1,0,1,3,2,11,2,4
"G7C6-FPB","Catherine Throckmorton","Female","about 1472–13 January 1547",75,"+1472","52.33781","-1.56089","Warwickshire, England","+1547-01-13","55.33405","-1.98349","Berwick-on-Trent, Northumberland England",0,0,0,2,2,12,1,3
"MFRN-YTR","John Agborrowe","Male","1440–",NA,"+1440","53.11546","-1.02722","Nottinghamshire, England",NA,NA,NA,NA,0,0,0,1,1,0,1,1
"MFRN-YY7","Johane Horsnett","Female","1445–",NA,"+1445","53.11546","-1.02722","Nottinghamshire, England",NA,NA,NA,NA,0,0,0,1,1,0,1,1
"G4H1-6N8","William Carpenter","Male","1464–11 July 1547",83,"+1464","51.83747","-0.18951","Homme, Hertfordshire, , England","+1547-07-11","51.3049","-1.8274","Charlton, Wiltshire, England",0,0,0,0,2,5,2,7
"GHC1-MZF","Agnes","Female","about 1464–about 1520",56,"+1464","51.1863","-0.6126","Godalming, Surrey, England","+1520",NA,NA,NA,0,0,0,0,0,0,1,4
"GF1H-DLD","Nicholas Finch","Male","–",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1
"GF1H-V57","Alice Lawney","Female","–",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1
"LBHN-3F6","John Lynn","Male","1450–",NA,"+1450","55.68333","-4.71667","Dalry, North Ayrshire, Scotland",NA,NA,NA,NA,0,0,0,0,1,0,1,2
"LYSP-257","Philippe de Croy","Male","1435–14 September 1511",76,"+1435","50.7505","2.2522","of St. Omer,Pas-de-Calais,France","+1511-09-14",NA,NA,NA,2,0,2,3,2,6,1,5
"G9R6-W4F","Jacqueline de Luxembourg","Female","about 1435–1511",76,"+1435",NA,NA,NA,"+1511","48.2348","4.7046","Bar-sur-Aube, Aube, Champagne-Ardenne, France",0,0,0,3,2,6,1,5
"L4Y3-QYG","Rene de la Chateaubriand","Male","1440–1489",49,"+1440","47.71819","-1.37868","Châteaubriant, Loire-Atlantique, Pays de la Loire, France","+1489",NA,NA,NA,0,0,0,0,2,0,1,2
"L4Y3-QTQ","Helene d'Estouteville","Female","about 1452–",NA,"+1452","48.928","0.5326","Beyne, Normandie, France",NA,NA,NA,NA,0,0,0,0,2,4,1,2
"G7H2-N31","Alain D'albret","Male","1440–1522",82,"+1440","43.8336","-0.8075","Of, Tartas, Landes, France",NA,NA,NA,NA,0,0,0,1,2,0,1,13
"G3FZ-L7T","Françoise de Chatillon","Female","1452–1488",36,"+1452","46","2","France","+1488",NA,NA,NA,0,0,0,1,2,2,1,13
"LBGF-9YP","Johann van Halewijn de Roulers II","Male","1435–",NA,"+1435","52.5","5.75","Netherlands",NA,NA,NA,NA,0,0,0,0,1,5,1,3
