"fid","QID","name","lifespan","article","age_at_death","birth_country","children","siblings"
"K86G-1WX",NA,"Caroline Wheelock","1834 - 1895",NA,61,"USA",3,5
"G9XV-F55",NA,"Jothan Wheelock","1799 - 1848",NA,49,"USA",6,10
"KHWY-K2K",NA,"Hannah Warner","1802 - 1858",NA,55,"USA",6,0
"KJJF-2MQ",NA,"John Gleason Wheelock","1774 - 1855",NA,81,"USA",11,6
"KJJF-K61",NA,"Lavina Clark","1777 - 1853",NA,76,"USA",11,10
"L7BY-S6Y",NA,"Jonathan Wheelock  Sr.","1727 - 1798",NA,71,"USA",7,6
"LZ6L-T97",NA,"Anna Drury","1734 - 1802",NA,68,"USA",7,10
"MF7Y-X2S",NA,"Gershom Clark","1753 - 1813",NA,59,"USA",11,3
"KLXL-ZTM",NA,"Levinah Wright","1753 - 1840",NA,86,"USA",11,6
"L691-VC5",NA,"Gershom Wheelock Sr.","1693 - 1770",NA,77,"USA",7,10
"LRVV-YSJ",NA,"Abigail Flagg","1694 - 1762",NA,68,"USA",7,9
"LZ4N-XH1",NA,"John Drury Sr.","1711 - 1786",NA,74,"USA",12,9
"2D65-99H",NA,"Anne Gleason","1713 - 1766",NA,53,"USA",11,7
"M1ST-3Z8",NA,"Benoni Root Clark","1730 - Unknown",NA,NA,"USA",15,12
"LCPX-XTG",NA,"Ruth Carpenter","Unknown - Unknown",NA,NA,"USA",5,10
"KLB8-1QB",NA,"Jabez Wright","1728 - 1796",NA,68,"USA",8,7
"MGKW-ZP3",NA,"Martha Washburn","1729 - Unknown",NA,NA,NA,7,7
"LCZS-VPZ",NA,"Deacon Samuel Wheelock","1664 - 1740",NA,76,"USA",11,6
"LHSQ-5YH",NA,"Lydia Rice","1668 - 1756",NA,87,"USA",11,9
"LHZN-5LF",NA,"Benjamin Flagg","1662 - 1741",NA,78,"USA",10,11
"L8SK-J7R",NA,"Experience Childe","1669 - 1759",NA,90,"USA",10,7
"LTTF-QR5",NA,"Caleb Drury Sr","1688 - 1723",NA,35,"USA",10,8
"LHFR-W3F",NA,"Elisabeth Eames","1685 - 1727",NA,42,"USA",10,6
"LZ2S-DJL",NA,"John Gleason","1682 - 1740",NA,58,"USA",8,6
"LCZ3-41V",NA,"Abigail Learned","1684 - 1765",NA,81,"USA",8,10
"LB79-2BV",NA,"Benoni Clark","1693 - 1769",NA,76,"USA",13,6
"LC8T-966",NA,"Hannah Root","1699 - 1748",NA,49,"USA",13,0
"MC3Z-1ZY",NA,"Jedediah Carpenter","1696 - 1731",NA,35,"USA",11,10
"KH29-DBZ",NA,"Mercy Brown","1699 - 1751",NA,52,"USA",13,11
"GQF1-7LZ",NA,"James Wright","1699 - 1750",NA,50,"USA",8,9
"KPDR-TZ3",NA,"Sarah Guild","1702 - Unknown",NA,NA,"USA",8,8
"LZVW-576",NA,"Timothy Washburn","1694 - 1741",NA,47,"USA",8,15
"G8GT-P55",NA,"Hannah","Unknown - Unknown",NA,NA,NA,8,0
"KN6H-9WZ",NA,"Joseph Root","1640 - 1711",NA,71,"USA",8,0
"2JYT-CQF",NA,"Hannah Haynes","1637 - 1691",NA,54,"USA",7,3
"LYYR-DKX",NA,"Gershom Wheelock","1632 - 1684",NA,52,"UK:Great Britain",7,11
"L691-VS5",NA,"Hannah Stoddard","1638 - 1690",NA,53,"USA",7,0
