"fid","QID","name","lifespan","article","age_at_death","birth_country","children","siblings"
"LHQM-9CQ",NA,"Mary Elizabeth Magby","1834 - 1887",NA,53,"USA",15,13
"MKG3-58R",NA,"John Alexander Magby","1813 - Unknown",NA,NA,"USA",14,6
"2Z3B-HWV",NA,"Francis C Sullivan","1816 - 1859",NA,43,"USA",14,8
"LK5G-Q35",NA,"William R Magby","1790 - 1869",NA,79,"USA",17,7
"GFG4-JBF",NA,"Mrs. Magby","1792 - Unknown",NA,26,"USA",7,0
"LX3L-72S",NA,"Jehu Sullivan","1796 - 1857",NA,64,"USA",12,1
"GGH7-626",NA,"Sullivan","Unknown - Unknown",NA,NA,NA,9,0
"L29Z-B1X",NA,"Vardry Magby II","1760 - Unknown",NA,NA,"USA",8,8
"L29Z-1SM",NA,"Rachel Atkinson","1760 - Unknown",NA,79,"USA",8,0
"L24Y-BMB",NA,"John Sullivan","1765 - Unknown",NA,NA,"USA",2,0
"L62C-Z8Z",NA,"Vardry McBee","1734 - Unknown",NA,66,"USA",9,7
"9Q1F-B91",NA,"Hannah Echols","1734 - 1823",NA,89,"USA",9,8
"GD4Q-44Q",NA,"Lt John Bean","Unknown - Unknown",NA,NA,NA,1,0
"GQCG-C8G",NA,"John Sullivant","Unknown - Unknown",NA,NA,NA,1,0
"GQCP-Q3R",NA,"Heather Nelson","Unknown - Unknown",NA,NA,"USA",1,0
"L62C-C9V",NA,"William McBee","1695 - Unknown",NA,64,"USA",8,0
"L2ZG-CST",NA,"Susannah Vardry","1708 - 1759",NA,51,"USA",8,5
"LDQR-ZKG",NA,"William Echols","1704 - 1771",NA,67,"USA",9,8
"LZ6Z-6QL",NA,"Sarah Turner","1705 - 1778",NA,73,"USA",9,0
"L6YN-FNW",NA,"John Vardry","1645 - 1721",NA,76,"UK:Great Britain",6,3
"L62C-CX4",NA,"Elizabeth Cage","1657 - 1773",NA,116,"USA",6,4
"LD1B-6X8",NA,"John Echols, Jr.","1650 - 1712",NA,62,NA,10,0
"LTTP-7BN",NA,"Mary Cave","1661 - 1712",NA,51,"UK:Great Britain",9,6
"LHRY-PJ9",NA,"Samuel Vawdrey","1598 - 1714",NA,116,"UK:Great Britain",4,11
"LH8K-83N",NA,"Anne Markham","1612 - Unknown",NA,NA,"UK:Great Britain",4,0
"LCMF-6XW",NA,"John Fiedler Cage","1627 - 1676",NA,49,"UK:Great Britain",5,0
"LHR8-KRX",NA,"Susanna Annie Hall","1627 - 1680",NA,53,"UK:Great Britain",5,13
"G4VF-F23",NA,"John Echols, Sr., English Immigrant","1619 - 1680",NA,61,"UK:Great Britain",1,0
