"fid","QID","name","lifespan","article","age_at_death","birth_country","children","siblings"
"L6LQ-3HW",NA,"William M Sullivan","1839 - 1907",NA,68,"Ireland",11,6
"L8BM-R6T",NA,"Joshua Parker Sullivan","1814 - 1864",NA,49,"USA",7,6
"L6R8-SNV",NA,"Sarah Ann Wisman","1812 - 1847",NA,35,"USA",7,0
"LCX4-VXL",NA,"Parker Sullivan","1782 - 1852",NA,70,"USA",7,3
"L8DZ-3Q8",NA,"Martha Mary Johns","1781 - 1864",NA,82,"USA",7,0
"LZPL-844",NA,"Captain Ebenezer Moses Sullivan","1750 - 1799",NA,48,"USA",11,7
"L65X-NZV",NA,"Mary Parker","1758 - 1820",NA,62,"USA",4,0
"LYTC-KG6",NA,"Johns","Unknown - Unknown",NA,NA,NA,1,5
"LKRN-CPF",NA,"Sarah Perry","1750 - 1847",NA,97,"USA",1,0
"MLHB-YRP",NA,"John Owen Sullivan","1692 - 1795",NA,103,"Ireland",8,5
"GS4K-LHH",NA,"Margaret or Margery Browne","1714 - 1801",NA,87,"Ireland",8,0
"LHGD-KNS",NA,"Nathan Perry","1718 - 1806",NA,87,"USA",6,9
"LZBP-SWM",NA,"Hannah P Fiske","1719 - 1813",NA,94,"USA",6,8
"GCWG-92Z",NA,"Major Phillip O'Sullivan","Unknown - 1691",NA,NA,"Ireland",6,7
"GZY5-R5X",NA,"Johanna McCarthy","1645 - 1693",NA,48,"Ireland",6,4
"G67D-TCY",NA,"Patrick Browne","1680 - Unknown",NA,NA,"Ireland",1,0
"G67D-P9V",NA,"Mrs. Browne","1684 - Unknown",NA,NA,"Ireland",1,0
"LR1M-6CR",NA,"Josiah Perry Sr","1684 - 1767",NA,82,"USA",12,7
"L7NT-VP4",NA,"Bethiah Cutter","1686 - 1735",NA,48,"USA",10,7
"MDS6-T4R",NA,"Nathan Fiske","1672 - 1741",NA,69,"USA",9,8
"LZVZ-SXC",NA,"Sarah Coolidge","1678 - 1723",NA,45,"USA",9,12
"LVZ8-W44",NA,"Owen Donal O’Sullivan","1599 - 1698",NA,99,"Ireland",9,5
"GFT8-D7Q",NA,"Joanne Elizabeth Browne","1604 - 1655",NA,52,"Ireland",8,7
"GW1M-RG9",NA,"Derby McCarthy","Unknown - Unknown",NA,NA,"Ireland",5,0
"GW19-DFG",NA,"Ellen McCarthy","Unknown - Unknown",NA,NA,NA,5,0
"LCMQ-16C",NA,"John Perry II","1644 - 1724",NA,80,"UK:Great Britain",8,2
"KHHB-HB4",NA,"Sarah Clary","1647 - 1730",NA,83,"USA",8,2
"LHXD-XP1",NA,"Ephraim Cutter","1651 - 1731",NA,80,"USA",8,6
"KNDX-F29",NA,"Bethiah Wood","1660 - 1731",NA,71,"USA",8,8
"LV7K-8HZ",NA,"Lt. Nathan Fiske Jr","1642 - 1694",NA,51,"USA",9,6
"L8BJ-2MB",NA,"Elizabeth Fry","1639 - 1696",NA,56,"USA",9,1
"LZNP-9KM",NA,"John Coolidge II","1630 - 1691",NA,61,"UK:Great Britain",14,6
"LJLF-Z6N",NA,"Hannah Livermore","1633 - 1678",NA,45,"USA",13,13
"GJMK-GQK",NA,"Sir Owen O'Sullivan Beara","1570 - 1616",NA,46,"Ireland",7,3
"L8QW-5P6",NA,"Lady Helena Butler","1575 - 1616",NA,41,"Ireland",6,3
