"fid","QID","name","lifespan","article","age_at_death","birth_country","children","siblings"
"KN4F-TVZ",NA,"Hiram Colbroth","1831 - 1887",NA,56,"USA",6,5
"KH3D-4X3",NA,"Royal B. Coolbroth","1800 - Unknown",NA,NA,"USA",6,4
"KNXW-KQB",NA,"Mehitable Morrison","1804 - 1879",NA,75,"USA",6,15
"LC7P-GNN",NA,"Benjamin Coolbroth","1768 - Unknown",NA,NA,"USA",6,7
"9V8P-8PJ",NA,"Elizabeth Fenderson","1774 - 1836",NA,62,"USA",5,11
"KCMJ-FMF",NA,"Samuel Morrison","1761 - 1842",NA,81,"USA",16,6
"LVGW-PJR",NA,"Margaret Webber","1761 - 1831",NA,70,"USA",16,12
"L4BK-YP3",NA,"John Coolbroth","1723 - 1810",NA,88,"USA",8,0
"LC7P-L18",NA,"Elizabeth Foss","1723 - Unknown",NA,NA,"USA",8,0
"LZLK-QR5",NA,"Nathaniel Fenderson Jr","1748 - 1809",NA,61,"USA",12,3
"LHNS-XK3",NA,"Lucy Moulton","1758 - 1837",NA,79,"USA",12,9
"LCTG-JQ2",NA,"Samuel Morrison Sr","1732 - 1778",NA,46,"USA",7,12
"LCMF-R4D",NA,"Huldah Stewart","1739 - 1839",NA,99,"USA",7,11
"9HZB-X72",NA,"Edmund Webber Jr","1738 - 1824",NA,85,"USA",13,11
"L6ZX-D4Y",NA,"Dorothy Stewart","1737 - 1809",NA,72,"USA",20,11
"9JWH-DSM",NA,"John Coolbroth","1700 - Unknown",NA,NA,"UK:Northern Ireland",1,0
"9JWH-DSS",NA,"Mrs. John Coolbroth","1702 - Unknown",NA,NA,"USA",1,0
"LHX9-H8K",NA,"CATHERINE WEDGEWOOD","1697 - 1776",NA,79,"USA",1,0
"LZLK-Q24",NA,"Nathaniel Fenderson Sr","Unknown - 1813",NA,94,"USA",10,3
"LC52-JSL",NA,"Hepzibah Carter","1725 - 1753",NA,27,"USA",4,9
"LHW8-LSS",NA,"Captain Daniel Moulton","1731 - 1809",NA,78,"USA",10,4
"LH6B-TLS",NA,"Grace Reynolds","1729 - 1787",NA,58,"USA",10,7
"L8WL-YH1",NA,"Daniel David Morrison III","1691 - 1756",NA,64,"USA",13,8
"MDFX-RBD",NA,"Eleanor Littlefield","1697 - 1756",NA,58,"USA",13,9
"L6B5-4MJ",NA,"Samuel Stewart Jr.","1704 - 1785",NA,81,"USA",12,7
"LK6K-D15",NA,"Dorothy Allen","1707 - 1752",NA,44,"USA",12,9
"LX7M-129",NA,"Edmund Webber","1710 - 1792",NA,82,"USA",12,5
"KVLP-XVS",NA,"Deborah Parcher","1710 - 1790",NA,80,"USA",12,5
