"fid","QID","name","lifespan","article","age_at_death","birth_country","children","siblings"
"9N9J-FLS",NA,"James P. Massey","1823 - 1877",NA,54,"USA",6,19
"LC4M-GRX",NA,"Silas Massey","1776 - 1876",NA,100,"USA",25,18
"LC4M-LVK",NA,"Nancy Burris","1790 - 1875",NA,84,"USA",20,14
"L2SP-PKG",NA,"Noel Posey Massey","1755 - 1828",NA,72,"USA",19,6
"LBGW-TKC",NA,"Lucinda Freeman","1756 - 1826",NA,70,"USA",19,15
"LCJ2-9NP",NA,"Joshua Burris","1755 - 1804",NA,49,"USA",15,2
"L15W-ZPG",NA,"Sarah Mary Chamblee","1755 - 1806",NA,51,"USA",15,8
"LZLC-1N1",NA,"William Massey","1716 - 1782",NA,67,"USA",7,8
"LBG4-QCJ",NA,"Judith Pettipool","1725 - 1755",NA,30,"USA",15,10
"L2GX-YL4",NA,"John Freeman Sr.","1740 - 1800",NA,60,NA,16,0
"LVGT-VR4",NA,"Martha Lynn","1742 - 1797",NA,55,NA,16,8
"LH5Y-DPG",NA,"Joshua Burris","1700 - 1783",NA,83,"UK:Great Britain",4,0
"GM7D-VJR",NA,"Elizabeth Brookshire","1734 - 1787",NA,53,"UK:Great Britain",3,0
"KZCQ-TNT",NA,"Isaac Chamblee","1730 - 1800",NA,70,"USA",9,3
"MY7K-ZJW",NA,"Lucretia Jones","1730 - 1818",NA,88,NA,9,0
"LRM2-PL9",NA,"Richard Massey","1696 - 1740",NA,44,"USA",9,4
"M9B1-JKC",NA,"Anne Susanna Pettipool","1693 - 1770",NA,77,"USA",9,6
"LCPL-WPW",NA,"Seth Pettypool","1701 - 1773",NA,72,"USA",11,16
"LDMW-9JN",NA,"Martha Ragsdale","1700 - 1773",NA,73,"USA",11,12
"9JDW-SG6",NA,"James Lynn Sr.","1720 - 1797",NA,77,NA,9,0
"GGX8-C8D",NA,"Chamley","Unknown - Unknown",NA,NA,NA,4,0
"LRQH-PFV",NA,"Richard John Massey Sr.","1661 - 1740",NA,78,"UK:Great Britain",5,7
"GQJK-Y24",NA,"Sarah Francis Greene","1655 - 1689",NA,34,"USA",7,0
"LBQ3-96B",NA,"William Pettypool Jr.","1660 - 1726",NA,66,"USA",12,4
"L5BF-QWZ",NA,"Elizabeth Tucker","1672 - 1726",NA,54,"USA",7,6
"MW4Y-WNW",NA,"William Pettipoole","1690 - 1774",NA,84,"USA",17,6
"LBSJ-7PY",NA,"Frances Talley","1700 - 1753",NA,53,"USA",17,5
"LB4K-Z2W",NA,"Godfrey Ragsdale III","1676 - 1731",NA,55,"USA",13,15
"49D5-G9D",NA,"Mary Elizabeth Baxter","1676 - 1750",NA,74,"USA",14,0
"G42S-HZ6",NA,"Dr. John Linn","1695 - 1752",NA,57,"Ireland",2,0
"GNPB-2R8",NA,"Margaret Cameron","1697 - 1769",NA,72,"UK:Great Britain",1,0
"LVH6-D64",NA,"Edward Massey","1612 - 1674",NA,61,"UK:Great Britain",8,11
"LHPM-DPT",NA,"Alice Braithwait","1623 - 1666",NA,42,"UK:Great Britain",8,14
"GHKT-53R",NA,"Lewis Greene","1627 - 1696",NA,69,"UK:Great Britain",1,2
"GHKT-PNG",NA,"Sarah Davis","1628 - 1665",NA,37,"UK:Great Britain",1,0
"LKPM-9TJ",NA,"William Pettipoole Sr.","Unknown - 1668",NA,38,NA,5,7
"LR4M-VF8",NA,"Ann Parham Smith","1635 - 1727",NA,91,"UK:Great Britain",5,3
"LZ6K-7NP",NA,"Robert Tucker","1652 - 1704",NA,52,"USA",7,2
"L6QR-T3D",NA,"Elizabeth Coleman","1657 - 1722",NA,65,"USA",7,7
"LR4M-VDN",NA,"Richard Talley","1685 - 1764",NA,79,"USA",8,2
"GLSN-NFG",NA,"Mary Lightfoot Tucker","1695 - 1765",NA,70,"USA",6,1
"LVJZ-YSD",NA,"Godfrey Ragsdale II","1643 - 1703",NA,60,"USA",16,0
"LD98-Z79",NA,"Rachel Rowlett","1653 - 1715",NA,62,"USA",16,0
"GHK1-TNK",NA,"George Baxter","1650 - 1700",NA,50,"USA",1,0
"GHK1-BWQ",NA,"Mary Baxter","Unknown - Unknown",NA,NA,"USA",1,0
"GF9V-VZN",NA,"Wiliam David Lynn","1672 - 1727",NA,55,"Ireland",6,1
"L8P2-HMH",NA,"Sir William Massey of Puddington","1580 - 1649",NA,69,"UK:Great Britain",12,0
"LH84-TZ1",NA,"Catherine Herbert","1580 - 1625",NA,45,"UK:Great Britain",12,8
"2CNB-3WT",NA,"Richard Braithwaite","1588 - 1673",NA,85,"UK:Great Britain",18,9
"K1TH-C53",NA,"Frances Lawson","1597 - 1633",NA,36,"UK:Great Britain",15,1
"GKC4-J28",NA,"Peeter Greene","1600 - 1665",NA,65,NA,4,0
"MGCQ-513",NA,"Katherine Baker","1600 - 1671",NA,71,"UK:Great Britain",3,0
"GKCH-DZP",NA,"Samuel Davis","1580 - 1639",NA,59,NA,1,0
"LH9H-W73",NA,"Sarah Russell","1606 - 1689",NA,83,"UK:Great Britain",7,9
"LHRM-LVC",NA,"Samuel Pettypool Poole","1591 - 1667",NA,76,"USA",8,0
"LZKY-RPX",NA,"Alice Jackson","Unknown - 1667",NA,76,"UK:Great Britain",8,0
"GLSF-WNT",NA,"William Isaac Smith","1615 - 1700",NA,85,"UK:Great Britain",4,0
"G3PV-HZ3",NA,"Margrett Ann Parkham","1620 - 1708",NA,88,"UK:Great Britain",7,6
"LKBN-NBT",NA,"John Thomas Tucker","1626 - 1671",NA,44,"USA",6,3
"LHKC-826",NA,"Mary Allerton","1635 - 1678",NA,43,"UK:Great Britain",6,3
"2ZS4-MJP",NA,"Robert Coleman","1620 - 1689",NA,69,"UK:Great Britain",8,9
"GW3K-3J5",NA,"Elizabeth Grizzell","1632 - 1700",NA,68,"UK:Great Britain",10,0
"GD5D-8DX",NA,"Richard Talley","1651 - 1717",NA,66,"USA",4,0
"LHDS-JYD",NA,"Sarah Blake","1656 - 1697",NA,41,"USA",3,12
"GJL9-5V5",NA,"William Gerard Tucker","1650 - 1733",NA,83,"USA",2,0
"GLSF-9N6",NA,"Elizabeth Allen","1688 - 1722",NA,34,"USA",2,15
"LWXR-5VQ",NA,"Godfrey Ragsdale I","1615 - 1644",NA,29,"UK:Great Britain",2,10
"LC6Y-16S",NA,"Mary Cookney","1615 - 1644",NA,29,"UK:Great Britain",1,5
"G6T4-K8G",NA,"John Rowlett","1600 - 1679",NA,79,"UK:Great Britain",1,0
"G6TH-95P",NA,"Mary Bray","1618 - 1700",NA,82,"UK:Great Britain",1,0
"GM5T-M83",NA,"David William Lynn Linn","1645 - 1673",NA,28,"UK:Great Britain",2,1
"2J7F-BLM",NA,"Janet Thompson","1636 - Unknown",NA,NA,"UK:Great Britain",8,5
"LH84-TN7",NA,"John Massey","1546 - 1610",NA,64,"UK:Great Britain",1,8
"LCQM-9PP",NA,"Elizabeth Ashton","1548 - Unknown",NA,54,"UK:Great Britain",1,0
"GV3Y-ZBJ",NA,"Sir Edward Herbert","1544 - 1594",NA,49,"UK:Great Britain",9,2
"L5LJ-F7F",NA,"Mary Stanley","1559 - 1597",NA,38,NA,10,0
"L7GZ-1LS",NA,"Sir Thomas Braithwaite","1537 - 1610",NA,73,"UK:Great Britain",12,8
"MKFF-J4J",NA,"Dorothy Bindloss","1554 - 1624",NA,70,"UK:Great Britain",12,8
"GJBZ-926",NA,"James Conyers Lawson","1575 - 1631",NA,56,"UK:Great Britain",2,6
"GJBD-X3C",NA,"Jane Conyers","1576 - Unknown",NA,NA,"UK:Great Britain",2,11
"G2HB-BKP",NA,"John William Baker Sir","1570 - 1642",NA,72,"UK:Great Britain",1,0
"LH6R-6H3",NA,"Joane Gill","1567 - 1674",NA,107,"UK:Great Britain",1,5
"LZFP-RHQ",NA,"William Russell","1557 - 1619",NA,62,"UK:Great Britain",10,6
"LZFP-RNM",NA,"Mary Hilles","1568 - 1595",NA,27,"UK:Great Britain",10,5
"GZGF-7TT",NA,"John Pettypoole","1577 - 1645",NA,68,"UK:Great Britain",1,0
"GZGF-DZZ",NA,"Elizabeth Strondall","1578 - 1622",NA,44,"UK:Great Britain",1,0
"GLSN-Y8F",NA,"Richard Jackson","1561 - 1625",NA,64,"UK:Great Britain",1,0
"GLSN-DJJ",NA,"Elizabeth Coffin-Jackson","1563 - 1624",NA,60,"UK:Great Britain",7,4
"LZ82-ZKY",NA,"Francis Smith","1574 - Unknown",NA,57,"UK:Great Britain",2,8
"GLJ3-16W",NA,"Alice Tarver","1594 - 1667",NA,73,"UK:Great Britain",1,10
"LCZ1-TGP",NA,"Mathew James Parham","1598 - 1663",NA,65,"UK:Great Britain",7,1
"G2WB-KN5",NA,"Frances Holmes","1606 - Unknown",NA,57,"UK:Great Britain",7,1
"LB2N-TRL","Q18880389","Capt. William Tucker","1588 - 1643","https://en.wikipedia.org/wiki/William_Tucker_(Jamestown_immigrant)",56,"UK:Great Britain",4,3
"GGMH-MMR",NA,"Mary Thompson","1598 - 1640",NA,42,"UK:Great Britain",5,17
"LK5W-8N2","Q96689367","Rev. Bartholomew Allerton","1612 - 1658",NA,46,"Netherlands",4,4
"LHKC-8Z8",NA,"Sarah Fairfax","1613 - 1678",NA,65,"UK:Great Britain",4,10
"LTH8-G8H",NA,"Sir Richard Coleman","1590 - 1679",NA,88,"UK:Great Britain",12,10
"G8CT-4PJ",NA,"Lady Rebecca Claiborne","1593 - 1650",NA,57,"UK:Great Britain",10,0
"LZTK-R1F",NA,"William Humphrey Grizzell","1600 - 1636",NA,36,"UK:Great Britain",1,0
"LDRX-4RH",NA,"Lucretia Christine Ripley","1604 - 1636",NA,32,"UK:Great Britain",1,7
"G3WP-ZRN",NA,"Richard Talley","1627 - Unknown",NA,NA,"UK:Great Britain",1,0
"M79V-QTK",NA,"Patience Pope","1628 - 1684",NA,56,"UK:Great Britain",1,0
"9VCL-P29",NA,"Edward Blake","1626 - 1692",NA,66,"UK:Great Britain",13,6
"LT8R-MK9",NA,"Patience Pope","1632 - 1690",NA,58,"UK:Great Britain",13,2
"L8JL-Y5Y",NA,"Valentine Richard Allen","1630 - 1712",NA,82,"USA",16,10
"LZKH-KDH",NA,"Mary Jane Page","1630 - 1694",NA,63,"USA",17,14
"L4PM-WSH",NA,"Lord John Ragsdale","1575 - 1615",NA,40,"UK:Great Britain",11,5
"L824-V55",NA,"Mary Heathcote","1575 - 1643",NA,68,"UK:Great Britain",14,1
"LRW8-ZV8",NA,"John Cookney","1594 - 1644",NA,50,"UK:Great Britain",6,2
"GMW7-2CT",NA,"Joan Smithe","1596 - 1644",NA,47,"UK:Great Britain",6,1
"GKGF-JN2",NA,"Andrew David Cameron Linn","1610 - 1684",NA,74,"USA",2,2
"GKGN-C93",NA,"Ann Margaret Blair","1610 - 1660",NA,50,"UK:Great Britain",3,2
"L8SF-2N1",NA,"David Thompson","1591 - Unknown",NA,NA,"UK:Great Britain",6,1
"LH38-W3J",NA,"Marion Meek","1612 - Unknown",NA,NA,"UK:Great Britain",6,3
"MPZV-98T",NA,"William de Pontington Massey","1515 - 1579",NA,64,"UK:Great Britain",9,8
"GST1-MZS",NA,"Anne Booth","1514 - 1568",NA,54,"UK:Great Britain",9,0
"G27R-4HG",NA,"John Aston","1520 - Unknown",NA,NA,"UK:Great Britain",1,0
"G275-198",NA,"Margaret","1523 - Unknown",NA,NA,"UK:Great Britain",1,0
"LCZN-MHG",NA,"Sir William Herbert 1st Earl of Pembroke","1501 - 1570",NA,69,"UK:Great Britain",3,5
"GSSD-MVG",NA,"Anne Parr","1515 - 1552",NA,36,"UK:Great Britain",3,2
"LKS8-FHW",NA,"Thomas Stanley","1530 - 1571",NA,41,"UK:Great Britain",1,2
"L2SH-77H",NA,"Joyce Barrett","1520 - 1580",NA,60,"UK:Great Britain",1,6
"L852-RQH",NA,"Robert Braithwaite","1481 - 1570",NA,89,"UK:Great Britain",10,0
"L6C1-BM6",NA,"Alice Williamson","1512 - 1606",NA,94,"UK:Great Britain",9,4
"LB8C-9JB",NA,"Sir Robert Bindloss","1530 - 1595",NA,65,"UK:Great Britain",9,1
"GZGZ-JFW",NA,"Lady Agnes Harrison","1534 - 1582",NA,48,"UK:Great Britain",9,0
"LZLQ-BCS",NA,"Henry Lawson of Nesham Abbey","1527 - 1607",NA,80,"UK:Great Britain",8,8
"MTNX-2DB",NA,"Frances Conyers","1545 - 1580",NA,35,"UK:Great Britain",7,8
"MWT1-QW4",NA,"Sir John Conyers","1544 - 1610",NA,66,"UK:Great Britain",12,10
"9VLB-NF3",NA,"Agnes Bowes","1550 - 1598",NA,48,"UK:Great Britain",12,5
"LH6R-DTV",NA,"William Gill","1528 - 1604",NA,76,"UK:Great Britain",6,0
"L2B6-2W3",NA,"Margerie Wheeler","1532 - 1584",NA,52,"UK:Great Britain",13,6
"G9BP-M9G",NA,"Thomas Russell","1526 - 1591",NA,65,"UK:Great Britain",7,6
"MB35-49B",NA,"Eleanor Skarth","1527 - Unknown",NA,NA,"UK:Great Britain",7,0
"LZFP-R67",NA,"George Hilles","1534 - 1603",NA,69,"UK:Great Britain",6,4
"MN6T-GJ2",NA,"Anne Agnes Dennyng","1538 - 1581",NA,43,"UK:Great Britain",6,0
"MN3M-99Q",NA,"Rycharde Puttyepoole","1520 - 1587",NA,67,"UK:Great Britain",1,0
"G3ZG-PK3",NA,"Joane Boxer","1525 - 1593",NA,68,"UK:Great Britain",1,0
"GLSJ-M2T",NA,"John Jackson","1500 - 1561",NA,61,"UK:Great Britain",1,0
"4ZJZ-QJH",NA,"Agnes Pickworth","1500 - 1569",NA,69,"UK:Great Britain",2,0
"GD41-YN2",NA,"James Coffin","1538 - 1566",NA,28,"UK:Great Britain",6,8
"LTR8-B82",NA,"Anne Mary Cole","1516 - 1579",NA,97,"UK:Great Britain",5,2
"GWP6-J1F",NA,"William Smith","1554 - 1598",NA,44,"UK:Great Britain",10,0
"L2J5-6CG",NA,"Alice Watson","1554 - 1615",NA,61,"UK:Great Britain",9,16
